Title,Link,Description,Date
,https://news.detik.com/berita/d-7741252/kapolri-harap-desk-ketenagakerjaan-jadi-saluran-buruh-sampaikan-keluhan,,
,https://news.detik.com/berita/d-7741251/korban-pencabulan-guru-sd-di-lebak-bertambah-jadi-14-anak,,
,https://www.detik.com/hikmah/haji-dan-umrah/d-7741117/biaya-haji-lebih-murah-bpkh-kaji-pengembangan-lahan-bandara-alternatif-di-saudi,,
,https://news.detik.com/berita/d-7741250/wamen-pertanian-food-estate-keniscayaan-harus-dilaksanakan,,
,https://20.detik.com/detikupdate/20250120-250120098/video-sd-di-nias-sebulan-tak-ada-guru-kemdikdasmen-rumah-dinas-disiapkan,,
,https://20.detik.com/detikupdate/20250120-250120090/video-eks-kabasarnas-akui-dana-komando-pemenang-tender-dibagi-ke-pegawai,,
,https://www.detik.com/pop/trending/d-7741239/polisi-anak-nikita-mirzani-dipindahkan-dan-diserahkan-ke-keluarga,,
,https://news.detik.com/berita/d-7741238/viral-pria-diduga-todongkan-pistol-di-puncak-bogor-usai-tabrak-3-motor,,
,https://news.detik.com/berita/d-7741236/art-di-jakpus-bawa-kabur-duit-ratusan-juta-milik-majikan-pelaku-ditangkap,,
,https://hot.detik.com/celeb/d-7740876/omara-esteghlal-nilai-prilly-latuconsina-sempurna,,
,https://travel.detik.com/travel-news/d-7741120/kawasan-wisata-puncak-diklaim-lebih-tertata,,
,https://oto.detik.com/berita/d-7741230/pelajaran-dari-kecelakaan-avanza-nyelonong-tanpa-sopir-tabrak-pesepeda,,
,https://news.detik.com/berita/d-7741229/menaker-apresiasi-pembentukan-desk-ketenagakerjaan-polri-beri-kepastian-hukum,,
,https://health.detik.com/berita-detikhealth/d-7741222/khasiat-daun-sirih-untuk-kesehatan-tubuh-bantu-atasi-sederet-kondisi-ini,,
,https://www.detik.com/pop/trending/d-7740549/cara-manis-obama-bantah-isu-cerai-dengan-michelle,,
,https://finance.detik.com/bursa-dan-valas/d-7741220/perusahaan-asing-ikut-bursa-karbon-ri-ini-tantangannya,,
,https://wolipop.detik.com/entertainment-news/d-7740985/rating-drakor-when-the-stars-gossip-anjlok-dialog-vulgar-lee-min-ho-dikecam,,
,https://food.detik.com/info-kuliner/d-7739484/pesan-burger-rp-1-8-juta-di-hotel-bintang-5-tamu-ini-kena-zonk,,
Foto News,https://news.detik.com/foto-news/d-7740919/prosesi-pencucian-patung-buddha-tidur-di-vihara-bogor-jelang-imlek,,
,https://sport.detik.com/sepakbola/bola-dunia/d-7740863/calvin-verdonk-redam-messi-nya-kroasia-bikin-gol-pula,,
,https://www.detik.com/edu/perguruan-tinggi/d-7740852/ketar-ketir-mahasiswa-internasional-diminta-balik-ke-as-sebelum-trump-dilantik,,
,https://www.detik.com/tag/prabowo-subianto,,
,https://www.detik.com/tag/donald-trump,,
,https://www.detik.com/tag/makan-siang-gratis,,
,https://www.detik.com/tag/hasto-kristiyanto,,
,https://www.detik.com/tag/gaza,,
,https://news.detik.com/berita/d-7741035/mobil-ri-25-melintas-asn-kemdiktiksaintek-ramai-ramai-teriak-turun,,
,https://news.detik.com/berita/d-7741051/asn-kemendikti-cerita-awal-mula-pemecatan-ada-wa-saya-pecat-kamu,,
,https://news.detik.com/berita/d-7741142/motif-majikan-di-bogor-tikam-satpam-kesal-sering-diadukan-pulang-malam,,
,https://news.detik.com/berita/d-7741255/bercucuran-air-mata-pengacara-farida-felix-kaget-anaknya-bunuh-satpam-rumah,,
,https://news.detik.com/berita/d-7740948/dasco-minta-komisi-x-dpr-pantau-demo-menteri-satryo-singgung-evaluasi,,
,https://news.detik.com/internasional/d-7740449/trump-disebut-ingin-relokasi-warga-gaza-ke-indonesia-ini-respons-kemlu-ri,,
,https://finance.detik.com/fintech/d-7733973/pakai-pindar-harus-sadar-afpi-harus-paham-dan-mampu-bayar-kembali,,
,https://www.detik.com/hikmah/khazanah/d-7731963/ramai-masjid-tetap-utuh-usai-kebakaran-los-angeles-ini-faktanya,,
